R_version	name	version	date_time	hash	binary_location	status
4.2.3	rvest	1.0.3	2023-05-10T00:22:02Z	fb2aae1e8b7c8e032acf38667012c816	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/rvest/1.0.3/fb2aae1e8b7c8e032acf38667012c816/rvest	available
4.2.3	sass	0.4.5	2023-04-16T23:54:31Z	20d4a3c6495b929a474fe10308eb35da	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/sass/0.4.5/20d4a3c6495b929a474fe10308eb35da/sass	available
4.2.3	scales	1.2.1	2023-05-10T00:22:03Z	5e73e7f78ecde15cb3dbf30d4498352d	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/scales/1.2.1/5e73e7f78ecde15cb3dbf30d4498352d/scales	available
4.2.3	selectr	0.4.2	2023-05-10T00:22:04Z	5970bcecfa9e9d3a56bdaab5aa676590	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/selectr/0.4-2/5970bcecfa9e9d3a56bdaab5aa676590/selectr	available
4.2.3	sessioninfo	1.2.2	2023-04-16T23:54:32Z	8af4e78f1e8b6cf12382c19efc655d66	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/sessioninfo/1.2.2/8af4e78f1e8b6cf12382c19efc655d66/sessioninfo	available
4.2.3	shiny	1.7.4	2023-04-16T23:54:40Z	1fecb9d1467134d60de452f89abc3482	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/shiny/1.7.4/1fecb9d1467134d60de452f89abc3482/shiny	available
4.2.3	sourcetools	0.1.7.1	2023-04-16T23:54:43Z	8929fb2ac5ed0a8fe8ac2ac2a62875bd	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/sourcetools/0.1.7-1/8929fb2ac5ed0a8fe8ac2ac2a62875bd/sourcetools	available
4.2.3	spatial	7.3.16	2023-04-16T23:54:45Z	e8fd559458100299208c047ad580c759	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/spatial/7.3-16/e8fd559458100299208c047ad580c759/spatial	available
4.2.3	splines	4.2.3	2023-04-16T23:54:46Z	8a1236385b8e51b647197c73b79e245a	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/splines/4.2.3/8a1236385b8e51b647197c73b79e245a/splines	base
4.2.3	stats	4.2.3	2023-04-16T23:54:47Z	289c88f9300a718952857b0240258bf1	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/stats/4.2.3/289c88f9300a718952857b0240258bf1/stats	base
4.2.3	stats4	4.2.3	2023-04-16T23:54:50Z	ef44606e764e9a4b2297e7e51f376066	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/stats4/4.2.3/ef44606e764e9a4b2297e7e51f376066/stats4	base
4.2.3	stringi	1.7.12	2023-04-16T23:54:51Z	65be48550e50f89739086375fae7ef4b	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/stringi/1.7.12/65be48550e50f89739086375fae7ef4b/stringi	available
4.2.3	stringr	1.5.0	2023-04-16T23:54:53Z	94f35e8c1536ba8461b7398d3e9173f4	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/stringr/1.5.0/94f35e8c1536ba8461b7398d3e9173f4/stringr	available
4.2.3	survival	3.5.3	2023-04-16T23:55:01Z	39e4848888b778c603529656956a1299	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/survival/3.5-3/39e4848888b778c603529656956a1299/survival	available
4.2.3	sys	3.4.1	2023-04-16T23:55:04Z	d4b0dba53068501b592e81d6ff256e63	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/sys/3.4.1/d4b0dba53068501b592e81d6ff256e63/sys	available
4.2.3	systemfonts	1.0.4	2023-04-16T23:55:05Z	cfad3bb6c22728a26e82ad42acd5b230	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/systemfonts/1.0.4/cfad3bb6c22728a26e82ad42acd5b230/systemfonts	available
4.2.3	tcltk	4.2.3	2023-04-16T23:55:06Z	98958b7cb5149e0c635824dd41e2007b	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/tcltk/4.2.3/98958b7cb5149e0c635824dd41e2007b/tcltk	base
4.2.3	testthat	3.1.7	2023-04-16T23:55:08Z	9314ac5550f5ebeb6b63f6490882a0c4	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/testthat/3.1.7/9314ac5550f5ebeb6b63f6490882a0c4/testthat	available
4.2.3	textshaping	0.3.6	2023-04-16T23:55:09Z	9b6e32b8ec2367b19696ae923f998db4	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/textshaping/0.3.6/9b6e32b8ec2367b19696ae923f998db4/textshaping	available
4.2.3	tibble	3.2.1	2023-04-16T23:55:11Z	befc6a46c8568b60afb2bb14e5557737	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/tibble/3.2.1/befc6a46c8568b60afb2bb14e5557737/tibble	available
4.2.3	tidyr	1.3.0	2023-05-10T00:22:05Z	467f8cf732dcdd4410c9e948951bccc4	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/tidyr/1.3.0/467f8cf732dcdd4410c9e948951bccc4/tidyr	available
4.2.3	tidyselect	1.2.0	2023-04-16T23:55:13Z	9d5300792ee2d804e0f7961fdff775ee	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/tidyselect/1.2.0/9d5300792ee2d804e0f7961fdff775ee/tidyselect	available
4.2.3	tidyverse	2.0.0	2023-05-10T00:22:08Z	45ea5061d46af96ee292f4e40343346b	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/tidyverse/2.0.0/45ea5061d46af96ee292f4e40343346b/tidyverse	active
